SL NO,STATE/UT,population deprived of schooling,poverty rate (%),population deprived of Nutrition,Year,unemployment rate,gdp(billions),literacy rate(%),Population(in lakhs),total crimes,Murder,Kidnapping and Abduction,crime against women,crime against children,crime committed by juveniles
68,Delhi,4.3,3.43,20.38,2021,5.2,"7,443",86.2,205.71,306389,459,5527,14277,7118,2643
69,Jammu & Kashmir,4.2,4.8,15.52,2021,5.2,"1,678",77.5,134.08,31675,136,1013,3937,845,323
70,Ladakh,4.08,3.53,14.4,2021,3.3,0.7,82.7,2.97,559,5,4,18,1,0
71,Lakshadweep,1.8,1.11,24.63,2021,17.2,3.24,91.8,0.68,128,1,0,9,17,0
72,Puducherry,3.4,0.85,13.88,2021,5.8,362,85.8,15.72,4595,19,40,153,122,80
73,Andhra Pradesh,15.8,4.19,22.94,2023,4.1,"13,035",72.6,532.17,184293,922,746,22418,2844,662
74,Arunachal Pradesh,14.2,10.05,17.1,2023,6.1,351,84.2,15.65,2941,57,64,326,176,17
75,Assam,12.35,14.47,31.8,2023,3.9,"4,788",87,358.24,64959,1025,3563,12070,10174,140
76,Bihar,22.29,26.59,42.2,2023,3,"7,464",74.3,1273.68,353502,2862,14371,22952,9906,1818
77,Chattisgarh,10.5,11.71,35.12,2023,2.5,"4,644",78.5,302.64,115493,958,2991,8035,5904,1718
78,Goa,2.5,0.37,20.23,2023,2.1,891,86.9,15.77,3082,26,77,286,196,22
79,Gujarat,7.9,9.03,38.09,2023,8.5,"22,034",93.6,717.94,578879,968,1792,7805,5083,1709
80,Haryana,5.5,5.3,26.19,2023,1.1,"9,841",84.6,303.31,224216,1042,4149,15758,6401,1574
81,Himachal Pradesh,4.6,3.88,22.98,2023,3.4,"1,917",84.8,74.8,19987,93,439,1604,704,174
82,Jharkhand,16.1,23.34,40.32,2023,5.4,"4,174",88.8,396.32,63838,1463,1664,6989,1626,184
83,Karnataka,7.1,5.67,29.97,2023,1.3,"22,700",76.7,678.33,214234,1322,3744,20336,8929,883
84,Kerala,2.4,0.48,16.44,2023,2.7,"10,236",82.7,358.24,584373,352,306,16025,5903,521
85,Madhya Pradesh,12.14,15.01,34.63,2023,7.2,"12,465",95.3,869.23,495708,1832,11768,32342,22393,3619
86,Maharashtra,5.9,5.48,32.29,2023,0.9,"36,459",75.2,1267.1,596103,2208,13106,47101,22390,3970
87,Manipur,4.5,5.37,17.87,2023,3.3,402,87.3,32.31,20283,151,89,201,85,12
88,Meghalaya,16.7,25.46,34.72,2023,6.1,466,92,33.56,3532,62,94,628,512,80
89,Mizoram,6.7,3.77,15.63,2023,6.2,307,94.2,12.41,4050,24,5,184,146,16
90,Nagaland,10.4,11.76,20.61,2023,2.3,372,98.2,22.38,1899,19,37,56,26,10
91,Odisha,13.4,11.07,30.77,2023,7.1,"7,596",95.7,463.73,199954,1362,6125,25914,8577,1507
92,Punjab,6.7,4.35,20.8,2023,3.1,"6,813",79,307.96,69944,681,1574,5258,2462,509
